date,id,variable,value
2023-02-23,effluent_1,nh3,0.141
2023-02-23,effluent_1,bod,39.5
2023-02-23,effluent_1,h2s,0
2023-02-23,effluent_1,ph,8.25
2023-02-23,effluent_1,tan,4.37
2023-02-23,effluent_1,tp,0.24
2023-02-23,effluent_1,tss,39
2023-02-23,effluent_2,nh3,0.148
2023-02-23,effluent_2,bod,17.40
2023-02-23,effluent_2,h2s,0
2023-02-23,effluent_2,ph,8.60
2023-02-23,effluent_2,tan,3.93
2023-02-23,effluent_2,tp,0.16
2023-02-23,effluent_2,tss,38
2023-02-23,outfall,nh3,0.149
2023-02-23,outfall,bod,17.75
2023-02-23,outfall,h2s,0
2023-02-23,outfall,ph,8.54
2023-02-23,outfall,tan,4.54
2023-02-23,outfall,tp,0.16
2023-02-23,outfall,tss,37
2022-06-29,effluent_1,nh3,0.030
2022-06-29,effluent_1,bod,55.25
2022-06-29,effluent_1,h2s,0.12
2022-06-29,effluent_1,ph,8.91
2022-06-29,effluent_1,tan,2.76
2022-06-29,effluent_1,tp,0.34
2022-06-29,effluent_1,tss,36.00
2022-06-29,effluent_2,nh3,0.067
2022-06-29,effluent_2,bod,56.00
2022-06-29,effluent_2,h2s,0.11
2022-06-29,effluent_2,ph,9.04
2022-06-29,effluent_2,tan,3.29
2022-06-29,effluent_2,tp,0.46
2022-06-29,effluent_2,tss,32.00
2022-06-29,outfall,nh3,0.089
2022-06-29,outfall,bod,54.50
2022-06-29,outfall,h2s,0.08
2022-06-29,outfall,ph,8.96
2022-06-29,outfall,tan,3.39
2022-06-29,outfall,tp,0.45
2022-06-29,outfall,tss,42.50
2022-02-09,effluent_1,nh3,0.06
2022-02-09,effluent_1,bod,16.38
2022-02-09,effluent_1,h2s,0
2022-02-09,effluent_1,ph,9.06
2022-02-09,effluent_1,tan,0.77
2022-02-09,effluent_1,tp,0.13
2022-02-09,effluent_1,tss,20
2022-02-09,effluent_2,nh3,0.10
2022-02-09,effluent_2,bod,16.00
2022-02-09,effluent_2,h2s,0
2022-02-09,effluent_2,ph,8.84
2022-02-09,effluent_2,tan,3.54
2022-02-09,effluent_2,tp,0.21
2022-02-09,effluent_2,tss,22.00
2022-02-09,outfall,nh3,0.098
2022-02-09,outfall,bod,15.75
2022-02-09,outfall,h2s,0
2022-02-09,outfall,ph,8.88
2022-02-09,outfall,tan,2.88
2022-02-09,outfall,tp,0.14
2022-02-09,outfall,tss,20
