date,sw,squid,tank
1/3/21,0.688,0.5,m1
2/3/21,0.688,0.5,m1
3/3/21,0.688,0.5,m1
4/3/21,0.688,0.5,m1
5/3/21,0.688,0.5,m1
6/3/21,0.688,0.5,m1
7/3/21,0.688,0.5,m1
8/3/21,0.688,0.5,m1
9/3/21,0.688,0.5,m1
10/3/21,0.688,0.5,m1
11/3/21,0.688,0.5,m1
12/3/21,0.688,0.5,m1
13/3/21,0.688,0.5,m1
14/3/21,0.688,0.5,m1
15/3/21,0.688,0.5,m1
16/3/21,0.688,0.5,m1
17/3/21,0.688,0.5,m1
18/3/21,0.688,0.5,m1
19/3/21,0.688,0.5,m1
20/3/21,0.688,0.5,m1
21/3/21,0.688,0.5,m1
22/3/21,0.688,0.5,m1
23/3/21,0.688,0.5,m1
24/3/21,0.688,0.5,m1
25/3/21,0.688,0.5,m1
26/3/21,0.688,0.5,m1
27/3/21,0.688,0.5,m1
28/3/21,0.688,0.5,m1
29/3/21,0.688,0.5,m1
30/3/21,0.688,0.5,m1
31/3/21,0.688,0.5,m1
1/4/21,0.688,0.5,m1
2/4/21,0.688,0.5,m1
3/4/21,0.688,0.5,m1
4/4/21,0.688,0.5,m1
5/4/21,0.688,0.5,m1
6/4/21,0.688,0.5,m1
7/4/21,0.688,0.5,m1
8/4/21,0.688,0.5,m1
9/4/21,0.688,0.5,m1
10/4/21,0.688,0.5,m1
11/4/21,0.688,0.5,m1
12/4/21,0.688,0.5,m1
13/4/21,0.688,0.5,m1
14/4/21,0.688,0.5,m1
15/4/21,0.688,0.5,m1
16/4/21,0.688,0.5,m1
17/4/21,0.688,0.5,m1
18/4/21,0.688,0.5,m1
19/4/21,0.688,0.5,m1
20/4/21,0.688,0.5,m1
21/4/21,0.688,0.5,m1
22/4/21,0.688,0.5,m1
23/4/21,0.688,0.5,m1
24/4/21,0.688,0.5,m1
25/4/21,0.688,0.5,m1
26/4/21,0.688,0.5,m1
27/4/21,0.688,0.5,m1
28/4/21,0.688,0.5,m1
29/4/21,0.688,0.5,m1
30/4/21,0.688,0.5,m1
1/5/21,0.688,0.5,m1
2/5/21,0.688,0.5,m1
3/5/21,0.688,0.5,m1
4/5/21,0.688,0.5,m1
5/5/21,0.688,0.5,m1
6/5/21,0.688,0.5,m1
7/5/21,0.688,0.5,m1
8/5/21,0.688,0.5,m1
9/5/21,0.688,0.5,m1
10/5/21,0.688,0.5,m1
11/5/21,0.688,0.5,m1
12/5/21,0.688,0.5,m1
13/5/21,0.688,0.5,m1
14/5/21,0.688,0.5,m1
15/5/21,0.688,0.5,m1
16/5/21,0.688,0.5,m1
17/5/21,0.688,0.5,m1
18/5/21,0.688,0.5,m1
19/5/21,0.688,0.5,m1
20/5/21,0.688,0.5,m1
21/5/21,0.688,0.5,m1
22/5/21,0.688,0.5,m1
23/5/21,0.688,0.5,m1
24/5/21,0.688,0.5,m1
25/5/21,0.688,0.5,m1
26/5/21,0.688,0.5,m1
27/5/21,0.688,0.5,m1
28/5/21,0.688,0.5,m1
29/5/21,0.688,0.5,m1
30/5/21,0.688,0.5,m1
31/5/21,0.688,0.5,m1
1/6/21,1.005,1,m1
2/6/21,1.005,1,m1
3/6/21,1.005,1,m1
4/6/21,1.005,1,m1
5/6/21,1.005,1,m1
6/6/21,1.005,1,m1
7/6/21,1.005,1,m1
8/6/21,1.005,1,m1
9/6/21,1.005,1,m1
10/6/21,1.005,1,m1
11/6/21,1.005,1,m1
12/6/21,1.005,1,m1
13/6/21,1.005,1,m1
14/6/21,1.005,1,m1
15/6/21,1.005,1,m1
16/6/21,1.005,1,m1
17/6/21,1.005,1,m1
18/6/21,1.005,1,m1
19/6/21,1.005,1,m1
20/6/21,1.005,1,m1
21/6/21,1.005,1,m1
22/6/21,1.005,1,m1
23/6/21,1.005,1,m1
24/6/21,1.005,1,m1
25/6/21,1.005,1,m1
26/6/21,1.005,1,m1
27/6/21,1.005,1,m1
28/6/21,1.005,1,m1
29/6/21,1.005,1,m1
30/6/21,1.005,1,m1
1/7/21,1.248,1,m1
2/7/21,1.248,1,m1
3/7/21,1.248,1,m1
4/7/21,1.248,1,m1
5/7/21,1.248,1,m1
6/7/21,1.248,1,m1
7/7/21,1.248,1,m1
8/7/21,1.248,1,m1
9/7/21,1.248,1,m1
10/7/21,1.248,1,m1
11/7/21,1.248,1,m1
12/7/21,1.248,1,m1
13/7/21,1.248,1,m1
14/7/21,1.248,1,m1
15/7/21,1.248,1,m1
16/7/21,1.248,1,m1
17/7/21,1.248,1,m1
18/7/21,1.248,1,m1
19/7/21,1.248,1,m1
20/7/21,1.248,1,m1
21/7/21,1.248,1,m1
22/7/21,1.248,1,m1
23/7/21,1.248,1,m1
24/7/21,1.248,1,m1
25/7/21,1.248,1,m1
26/7/21,1.248,1,m1
27/7/21,1.248,1,m1
