doc,stage,zone,feed,value
0,NP,a_b,th,500
1,Z1,a_b,th,1000
2,Z2,a_b,th,1500
3,Z3,a_b,th,1500
4,ZM,a_b,th,500
5,M1,a_b,th,0
6,M2,a_b,th,0
7,M3,a_b,th,0
8,MPL,a_b,th,0
9,PL1,a_b,th,0
10,PL2,a_b,th,0
11,PL3,a_b,th,0
12,PL4,a_b,th,0
13,PL5,a_b,th,0
14,PL6,a_b,th,0
15,PL7,a_b,th,0
16,PL8,a_b,th,0
17,PL9,a_b,th,0
18,PL10,a_b,th,0
19,PL11,a_b,th,0
20,PL12,a_b,th,0
21,PL13,a_b,th,0
22,PL14,a_b,th,0
0,NP,a_b,art_1,0
1,Z1,a_b,art_1,0
2,Z2,a_b,art_1,60
3,Z3,a_b,art_1,180
4,ZM,a_b,art_1,210
5,M1,a_b,art_1,240
6,M2,a_b,art_1,270
7,M3,a_b,art_1,300
8,MPL,a_b,art_1,330
9,PL1,a_b,art_1,390
10,PL2,a_b,art_1,450
11,PL3,a_b,art_1,540
12,PL4,a_b,art_1,600
13,PL5,a_b,art_1,660
14,PL6,a_b,art_1,0
15,PL7,a_b,art_1,0
16,PL8,a_b,art_1,0
17,PL9,a_b,art_1,0
18,PL10,a_b,art_1,0
19,PL11,a_b,art_1,0
20,PL12,a_b,art_1,0
21,PL13,a_b,art_1,0
22,PL14,a_b,art_1,0
0,NP,a_b,art_2,0
1,Z1,a_b,art_2,0
2,Z2,a_b,art_2,0
3,Z3,a_b,art_2,0
4,ZM,a_b,art_2,0
5,M1,a_b,art_2,0
6,M2,a_b,art_2,0
7,M3,a_b,art_2,0
8,MPL,a_b,art_2,0
9,PL1,a_b,art_2,0
10,PL2,a_b,art_2,0
11,PL3,a_b,art_2,0
12,PL4,a_b,art_2,0
13,PL5,a_b,art_2,0
14,PL6,a_b,art_2,750
15,PL7,a_b,art_2,900
16,PL8,a_b,art_2,900
17,PL9,a_b,art_2,990
18,PL10,a_b,art_2,990
19,PL11,a_b,art_2,0
20,PL12,a_b,art_2,0
21,PL13,a_b,art_2,0
22,PL14,a_b,art_2,0
0,NP,a_b,zoea,0
1,Z1,a_b,zoea,0
2,Z2,a_b,zoea,10
3,Z3,a_b,zoea,15
4,ZM,a_b,zoea,15
5,M1,a_b,zoea,0
6,M2,a_b,zoea,0
7,M3,a_b,zoea,0
8,MPL,a_b,zoea,0
9,PL1,a_b,zoea,0
10,PL2,a_b,zoea,0
11,PL3,a_b,zoea,0
12,PL4,a_b,zoea,0
13,PL5,a_b,zoea,0
14,PL6,a_b,zoea,0
15,PL7,a_b,zoea,0
16,PL8,a_b,zoea,0
17,PL9,a_b,zoea,0
18,PL10,a_b,zoea,0
19,PL11,a_b,zoea,0
