facility_day,doc,stage,z,set,new_water,exchange_water
0,0,N,d,1,12.5,0
1,1,Z1,d,1,2.5,0
2,2,Z2,d,1,2.5,0
3,3,Z3,d,1,2.5,0
4,4,ZM,d,1,2.5,0
5,5,M1,d,1,0,2.5
6,6,M2,d,1,0,2.5
7,7,M3,d,1,0,2.5
8,8,MPL,d,1,0,2.5
9,9,P1,d,1,0,2.5
10,10,P2,d,1,0,5
11,11,P3,d,1,0,5
12,12,P4,d,1,0,10
13,13,P5,d,1,0,10
14,14,P6,d,1,0,15
15,15,P7,d,1,0,15
16,16,P8,d,1,0,15
17,17,P9,d,1,0,15
18,18,P10,d,1,0,15
19,19,P11,d,1,0,15
20,20,P12,d,1,0,15
21,21,P13,d,1,0,15
22,22,P14,d,1,0,15
1,0,N,d,2,12.5,0
2,1,Z1,d,2,2.5,0
3,2,Z2,d,2,2.5,0
4,3,Z3,d,2,2.5,0
5,4,ZM,d,2,2.5,0
6,5,M1,d,2,0,2.5
7,6,M2,d,2,0,2.5
8,7,M3,d,2,0,2.5
9,8,MPL,d,2,0,2.5
10,9,P1,d,2,0,2.5
11,10,P2,d,2,0,5
12,11,P3,d,2,0,5
13,12,P4,d,2,0,10
14,13,P5,d,2,0,10
15,14,P6,d,2,0,15
16,15,P7,d,2,0,15
17,16,P8,d,2,0,15
18,17,P9,d,2,0,15
19,18,P10,d,2,0,15
20,19,P11,d,2,0,15
21,20,P12,d,2,0,15
22,21,P13,d,2,0,15
23,22,P14,d,2,0,15
2,0,N,d,3,12.5,0
3,1,Z1,d,3,2.5,0
4,2,Z2,d,3,2.5,0
5,3,Z3,d,3,2.5,0
6,4,ZM,d,3,2.5,0
7,5,M1,d,3,0,2.5
8,6,M2,d,3,0,2.5
9,7,M3,d,3,0,2.5
10,8,MPL,d,3,0,2.5
11,9,P1,d,3,0,2.5
12,10,P2,d,3,0,5
13,11,P3,d,3,0,5
14,12,P4,d,3,0,10
15,13,P5,d,3,0,10
16,14,P6,d,3,0,15
17,15,P7,d,3,0,15
18,16,P8,d,3,0,15
19,17,P9,d,3,0,15
20,18,P10,d,3,0,15
21,19,P11,d,3,0,15
22,20,P12,d,3,0,15
23,21,P13,d,3,0,15
24,22,P14,d,3,0,15
3,0,N,d,4,12.5,0
4,1,Z1,d,4,2.5,0
5,2,Z2,d,4,2.5,0
6,3,Z3,d,4,2.5,0
7,4,ZM,d,4,2.5,0
8,5,M1,d,4,0,2.5
9,6,M2,d,4,0,2.5
10,7,M3,d,4,0,2.5
11,8,MPL,d,4,0,2.5
12,9,P1,d,4,0,2.5
13,10,P2,d,4,0,5
14,11,P3,d,4,0,5
15,12,P4,d,4,0,10
16,13,P5,d,4,0,10
17,14,P6,d,4,0,15
18,15,P7,d,4,0,15
19,16,P8,d,4,0,15
20,17,P9,d,4,0,15
21,18,P10,d,4,0,15
22,19,P11,d,4,0,15
23,20,P12,d,4,0,15
24,21,P13,d,4,0,15
25,22,P14,d,4,0,15
11,0,N,a,1,6,0
12,1,Z1,a,1,1,0
13,2,Z2,a,1,1,0
14,3,Z3,a,1,1,0
15,4,ZM,a,1,1,0
16,5,M1,a,1,0,1
17,6,M2,a,1,0,1.5
18,7,M3,a,1,0,1.5
19,8,MPL,a,1,0,1.5
20,9,P1,a,1,0,1.5
21,10,P2,a,1,0,2
