date,week,month,department,unit,tank,detail,gvc,yvc,tvc,lb,h2s,doc,stage
1-Jan-23,1,1,Maturation,M1,1,Culturing Water - Mat.,0.00E+00,2.00E+01,2.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,BU,2,Culturing Water - Mat.,0.00E+00,3.00E+03,3.00E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M1,2,Culturing Water - Mat.,1.00E+01,4.00E+01,5.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,BU,3,Culturing Water - Mat.,0.00E+00,1.72E+03,1.72E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M1,3,Culturing Water - Mat.,1.90E+02,1.76E+03,1.95E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,BU,4,Culturing Water - Mat.,0.00E+00,1.00E+02,1.00E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M1,4,Culturing Water - Mat.,2.40E+02,5.10E+02,7.50E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M3,9,Culturing Water - Mat.,7.00E+01,5.70E+02,6.40E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M3,10,Culturing Water - Mat.,3.70E+02,4.90E+02,8.60E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M3,11,Culturing Water - Mat.,5.00E+01,8.00E+01,1.30E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M3,12,Culturing Water - Mat.,7.00E+01,4.00E+01,1.10E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M4,13,Culturing Water - Mat.,7.00E+01,3.80E+02,4.50E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M4,14,Culturing Water - Mat.,6.00E+01,3.10E+02,3.70E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M4,15,Culturing Water - Mat.,4.00E+01,2.20E+02,2.60E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M4,16,Culturing Water - Mat.,1.00E+01,8.00E+01,9.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,17,Culturing Water - Mat.,1.20E+02,1.80E+02,3.00E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,18,Culturing Water - Mat.,3.00E+01,3.80E+02,4.10E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,19,Culturing Water - Mat.,6.00E+01,1.40E+02,2.00E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,20,Culturing Water - Mat.,1.70E+02,3.60E+02,5.30E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,65F002-011022,Nauplius,0.00E+00,6.00E+03,6.00E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M3,65F002-121122,Nauplius,0.00E+00,1.60E+04,1.60E+04,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M4,66F001-171122,Nauplius,0.00E+00,4.90E+04,4.90E+04,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,M1,C66F003-181222,Nauplius,0.00E+00,2.00E+03,2.00E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,ST,Water Stock - E.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,ST,Water Stock - E.,0.00E+00,1.00E+01,1.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Maturation,ME,ST,Water Stock - Mat.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,1,Culturing Water - Nur.,0.00E+00,2.00E+01,2.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,1,Culturing Water - Nur.,0.00E+00,9.00E+01,9.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,1,Diatom Intermediat,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,1,Probiotic,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,2,Culturing Water - Nur.,1.70E+02,7.90E+02,9.60E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,2,Diatom Intermediat,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,3,Culturing Water - Nur.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,3,Culturing Water - Nur.,4.00E+01,3.10E+02,3.50E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,3,PL1,0.00E+00,2.50E+04,2.50E+04,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,4,Culturing Water - Nur.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,4,Culturing Water - Nur.,1.00E+01,7.40E+02,7.50E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,4,PL1,0.00E+00,3.80E+03,3.80E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,6,Culturing Water - Nur.,0.00E+00,1.00E+01,1.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,6,Culturing Water - Nur.,0.00E+00,2.10E+02,2.10E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,6,PL sold,0.00E+00,1.40E+04,1.40E+04,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,7,Culturing Water - Nur.,0.00E+00,5.00E+01,5.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,7,Culturing Water - Nur.,1.00E+01,6.20E+02,6.30E+02,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,8,Culturing Water - Nur.,0.00E+00,1.00E+01,1.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,8,Culturing Water - Nur.,0.00E+00,3.44E+03,3.44E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,C,9,Culturing Water - Nur.,1.00E+01,5.00E+01,6.00E+01,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,D,9,Culturing Water - Nur.,6.00E+01,2.82E+03,2.88E+03,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,A,102,Sanitation test (start) Nur.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,A,202,Sanitation test (start) Nur.,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,A2,Diatom Mass,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,A3,Diatom Mass,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
1-Jan-23,1,1,Nursery,Nur,WU,Diatom Lab Poduction,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
